Id,Designator,Footprint,Quantity ,Comment,LCSC part:,Quantity from LCSC electronics,Price from LCSC
1,"C19,C3,C10,C4,C11,C1,C12,C7,C5,C2,C13,C6,C9",C_0402_1005Metric,13,0.1uF,C1525,100,0.12 USD
2,"C17,C18",C_0402_1005Metric,2,33pF,C107005,100,0.11 USD
3,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002,10,0.68 USD
4,"R5,R7",R_0402_1005Metric,2,1K,C106235,100,0.07 USD
5,"J2,J5",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,C50981,5,0.53 USD
6,"C8,C14",C_0402_1005Metric,2,1uF,C14445,100,0.17 USD
7,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040,1,0.95 USD
8,R6,R_0402_1005Metric,1,10K,C60490,100,0.06 USD
9,"C16,C15",C_0603_1608Metric,2,10uF,C19702,50,0.29 USD
10,"R1,R2",R_0402_1005Metric,2,5.1k,C25905,100,0.06 USD
11,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C165948,5,0.88 USD
12,U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521,1,1.64 USD
13,"R3,R4",R_0402_1005Metric,2,27ohm ,C138021,100,0.08 USD
14,J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,C92159,20,0.37 USD
15,U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,C26537,5,1.18 USD
16,SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,C202388,5,0.84 USD
17,LED,Red LED indicator,1,SMD_LED,C19171390,100,0,57 USD

,PCB,PCB ,5,from JLCPCB(4USD),NA,,
